(10, 10^3 * 0.004315447807312  )
(20, 10^3 * 0.009939794540405  )
(30, 10^3 * 0.016367173194885  )
(40, 10^3 * 0.023960237503051  )
(50, 10^3 * 0.032788383960723  )
(60, 10^3 * 0.041870543956756  )
(70, 10^3 * 0.050321662425994  )
(80, 10^3 * 0.059990613460540  )
(90, 10^3 * 0.069347414970397  )
(100, 10^3 * 0.079180324077606 )
