(20, 10^3 * 0.0466124439239502)
(30, 10^3 * 0.0816722202301025)
(40, 10^3 * 0.1254410719871521)
(50, 10^3 * 0.1716191959381103)
(60, 10^3 * 0.2190718865394592)
(70, 10^3 * 0.2755140638351440)
(80, 10^3 * 0.3273265814781189)
(90, 10^3 * 0.3808225870132446)
(100, 10^3 * 0.4413132882118225)
