(10, 10^3 *0.00521499156951904)
(20, 10^3 *0.01294166088104248)
(30, 10^3 *0.02232162714004516)
(40, 10^3 *0.03360781192779541)
(50, 10^3 *0.04566908836364746)
(60, 10^3 *0.05830722093582153)
(70, 10^3 *0.07104124546051026)
(80, 10^3 *0.08529863357543946)
(90, 10^3 *0.09951005935668945)
(100, 10^3 *0.11342514753341675)
